id,clipID,valenceRank,arousalRank,valenceValue,arousalValue,valenceVariance,arousalVariance
0,ACCEDE00000.mp4,3755,787,2.764339585,1.366937598,0.118453409,0.148906057
1,ACCEDE00001.mp4,6711,6428,3.260092953,2.792376043,0.104211193,0.154526469
2,ACCEDE00002.mp4,5043,3591,3.0475277,1.840160446,0.109840928,0.149310055
3,ACCEDE00003.mp4,7584,5615,3.338460735,2.470821012,0.100952879,0.164621475
4,ACCEDE00004.mp4,5014,4463,3.042495957,2.082151076,0.109999922,0.163321069
5,ACCEDE00005.mp4,3098,2921,2.570231162,1.684790104,0.120812803,0.13351952
6,ACCEDE00006.mp4,8492,6256,3.424584853,2.721085654,0.103986502,0.157235028
7,ACCEDE00007.mp4,6413,2737,3.230618909,1.646769704,0.105104425,0.129101139
8,ACCEDE00008.mp4,6817,3895,3.270067935,1.919416089,0.103853464,0.155312628
9,ACCEDE00009.mp4,4558,2969,2.95559844,1.6950379,0.112875235,0.134693221
10,ACCEDE00010.mp4,5994,1123,3.184307847,1.399112137,0.106214393,0.131247279
11,ACCEDE00011.mp4,4299,4700,2.899396412,2.155696712,0.114723157,0.165258219
12,ACCEDE00012.mp4,7002,562,3.287006395,1.349126193,0.103176786,0.164255141
13,ACCEDE00013.mp4,6928,7706,3.280293295,3.376899485,0.103454955,0.134911902
14,ACCEDE00014.mp4,6669,8107,3.256075181,3.580223549,0.104346704,0.134699007
15,ACCEDE00015.mp4,1105,2881,1.808616216,1.676354405,0.096985745,0.132545688
16,ACCEDE00016.mp4,3458,886,2.680743337,1.375723503,0.119965735,0.143021827
17,ACCEDE00017.mp4,3956,1719,2.816960775,1.472615868,0.117161646,0.116681415
18,ACCEDE00018.mp4,8930,16,3.473720196,1.318357058,0.114462973,0.211565432
19,ACCEDE00019.mp4,9274,2440,3.517383582,1.58962588,0.129311867,0.122647469
20,ACCEDE00020.mp4,3782,4527,2.771594145,2.101683964,0.118289822,0.16392906
21,ACCEDE00021.mp4,3446,4765,2.677220264,2.17644816,0.120013589,0.165637904
22,ACCEDE00022.mp4,7007,7749,3.287457389,3.398246922,0.103157668,0.134635833
23,ACCEDE00023.mp4,4952,4792,3.031546302,2.185141476,0.110350397,0.165776295
24,ACCEDE00024.mp4,5597,555,3.13336454,1.348620102,0.107405741,0.164774661
25,ACCEDE00025.mp4,472,9683,1.5343486,4.471494261,0.095147676,0.207428912
26,ACCEDE00026.mp4,1104,8824,1.808188996,3.967486546,0.09697025,0.152009521
27,ACCEDE00027.mp4,3625,2489,2.728603232,1.598694162,0.119186136,0.123622468
28,ACCEDE00028.mp4,4755,5189,2.994973823,2.317944962,0.111554251,0.166502049
